case_id,scenario,amount_at_risk,ground_truth_action,model_action,model_confidence,escalated,decision_source,policy_reason,decision_correct,simulated_recovered,simulated_amount_recovered,error,api_error
BATCH-0096,overdue_invoice,121824,email,email,0.8,False,llm,,True,True,121824,,False
BATCH-0097,hard_decline,21209,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0098,soft_decline,4604,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0099,abandoned_checkout,17957,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0100,overdue_invoice,122702,email,email,0.8,False,llm,,True,True,122702,,False
BATCH-0101,hard_decline,12583,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0102,soft_decline,13226,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0103,abandoned_checkout,18092,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0104,overdue_invoice,136329,email,email,0.9,False,llm,,True,True,136329,,False
BATCH-0105,hard_decline,21966,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0106,soft_decline,4992,email,email,0.9,False,llm,,True,True,4992,,False
BATCH-0107,abandoned_checkout,15578,email,email,0.8,False,llm,,True,True,15578,,False
BATCH-0108,overdue_invoice,31842,email,email,0.8,False,llm,,True,True,31842,,False
BATCH-0109,hard_decline,6821,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0110,soft_decline,12889,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0111,abandoned_checkout,5208,email,email,0.8,False,llm,,True,True,5208,,False
BATCH-0112,overdue_invoice,81424,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0113,hard_decline,20395,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0114,soft_decline,4914,email,email,0.8,False,llm,,True,True,4914,,False
BATCH-0115,abandoned_checkout,19101,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0116,overdue_invoice,16957,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0117,hard_decline,9237,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0118,soft_decline,7967,email,email,0.9,False,llm,,True,True,7967,,False
BATCH-0119,abandoned_checkout,4354,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0120,overdue_invoice,44054,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0121,hard_decline,6201,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0122,soft_decline,5149,email,email,0.9,False,llm,,True,True,5149,,False
BATCH-0123,abandoned_checkout,8691,email,email,0.8,False,llm,,True,True,8691,,False
BATCH-0124,overdue_invoice,44907,email,email,0.8,False,llm,,True,True,44907,,False
BATCH-0125,hard_decline,10485,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0126,soft_decline,1706,email,email,0.8,False,llm,,True,True,1706,,False
BATCH-0127,abandoned_checkout,13282,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0128,overdue_invoice,64424,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0129,hard_decline,4191,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0130,soft_decline,11820,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0131,abandoned_checkout,4685,email,email,0.7,False,llm,,True,False,0,,False
BATCH-0132,overdue_invoice,99538,email,email,0.8,False,llm,,True,True,99538,,False
BATCH-0133,hard_decline,9314,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0134,soft_decline,1579,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0135,abandoned_checkout,7551,email,email,0.8,False,llm,,True,True,7551,,False
BATCH-0136,overdue_invoice,75615,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0137,hard_decline,16609,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0138,soft_decline,9629,email,email,0.9,False,llm,,True,True,9629,,False
BATCH-0139,abandoned_checkout,19065,email,email,0.8,False,llm,,True,True,19065,,False
BATCH-0140,overdue_invoice,79207,email,email,0.8,False,llm,,True,True,79207,,False
BATCH-0141,hard_decline,9213,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0142,soft_decline,5532,email,email,0.8,False,llm,,True,True,5532,,False
BATCH-0143,abandoned_checkout,8178,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0144,overdue_invoice,123036,email,email,0.8,False,llm,,True,True,123036,,False
BATCH-0145,hard_decline,10950,escalate,escalate,0.0,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0146,soft_decline,12022,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0147,abandoned_checkout,9186,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0148,overdue_invoice,144466,email,email,0.8,False,llm,,True,True,144466,,False
BATCH-0149,hard_decline,13279,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0150,soft_decline,2378,email,email,0.8,False,llm,,True,True,2378,,False
BATCH-0151,abandoned_checkout,5060,email,email,0.8,False,llm,,True,True,5060,,False
BATCH-0152,overdue_invoice,21512,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0153,hard_decline,10986,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0154,soft_decline,8881,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0155,abandoned_checkout,17001,email,email,0.8,False,llm,,True,True,17001,,False
BATCH-0156,overdue_invoice,64982,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0157,hard_decline,9353,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0158,soft_decline,4657,email,email,0.9,False,llm,,True,True,4657,,False
BATCH-0159,abandoned_checkout,13407,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0160,overdue_invoice,66439,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0161,hard_decline,9952,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0162,soft_decline,4698,email,email,0.9,False,llm,,True,True,4698,,False
BATCH-0163,abandoned_checkout,4249,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0164,overdue_invoice,91541,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0165,hard_decline,13504,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0166,soft_decline,10833,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0167,abandoned_checkout,6186,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0168,overdue_invoice,48243,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0169,hard_decline,1131,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0170,soft_decline,2295,email,email,0.8,False,llm,,True,True,2295,,False
BATCH-0171,abandoned_checkout,11225,email,email,0.7,False,llm,,True,True,11225,,False
BATCH-0172,overdue_invoice,132633,email,email,0.8,False,llm,,True,True,132633,,False
BATCH-0173,hard_decline,5707,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0174,soft_decline,14440,email,email,0.9,False,llm,,True,True,14440,,False
BATCH-0175,abandoned_checkout,9299,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0176,overdue_invoice,37193,email,email,0.8,False,llm,,True,True,37193,,False
BATCH-0177,hard_decline,4403,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0178,soft_decline,10738,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0179,abandoned_checkout,13471,email,email,0.8,False,llm,,True,True,13471,,False
BATCH-0180,overdue_invoice,111465,email,email,0.8,False,llm,,True,True,111465,,False
BATCH-0181,hard_decline,4931,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0182,soft_decline,11498,email,email,0.8,False,llm,,True,True,11498,,False
BATCH-0183,abandoned_checkout,9042,email,email,0.85,False,llm,,True,True,9042,,False
BATCH-0184,overdue_invoice,38758,email,email,0.8,False,llm,,True,True,38758,,False
BATCH-0185,hard_decline,2463,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0186,soft_decline,11230,email,email,0.9,False,llm,,True,True,11230,,False
BATCH-0187,abandoned_checkout,9253,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0188,overdue_invoice,104845,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0189,hard_decline,6025,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0190,soft_decline,8966,email,email,0.8,False,llm,,True,True,8966,,False
BATCH-0191,abandoned_checkout,17894,email,email,0.8,False,llm,,True,True,17894,,False
BATCH-0192,overdue_invoice,41783,email,email,0.8,False,llm,,True,True,41783,,False
BATCH-0193,hard_decline,20480,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0194,soft_decline,13333,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0195,abandoned_checkout,2680,email,email,0.85,False,llm,,True,True,2680,,False
BATCH-0196,overdue_invoice,36587,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0197,hard_decline,22941,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0198,soft_decline,5581,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0199,abandoned_checkout,2972,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0200,overdue_invoice,33694,email,email,0.8,False,llm,,True,True,33694,,False
BATCH-0201,hard_decline,2244,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0202,soft_decline,2397,email,email,0.9,False,llm,,True,True,2397,,False
BATCH-0203,abandoned_checkout,10261,email,email,0.8,False,llm,,True,True,10261,,False
BATCH-0204,overdue_invoice,48327,email,email,0.8,False,llm,,True,True,48327,,False
BATCH-0205,hard_decline,10457,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0206,soft_decline,3660,email,email,0.8,False,llm,,True,True,3660,,False
BATCH-0207,abandoned_checkout,5013,email,email,0.8,False,llm,,True,True,5013,,False
BATCH-0208,overdue_invoice,86796,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0209,hard_decline,15247,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0210,soft_decline,11710,email,email,0.9,False,llm,,True,True,11710,,False
BATCH-0211,abandoned_checkout,14794,email,email,0.8,False,llm,,True,True,14794,,False
BATCH-0212,overdue_invoice,120508,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0213,hard_decline,1328,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0214,soft_decline,11587,email,email,0.9,False,llm,,True,True,11587,,False
BATCH-0215,abandoned_checkout,14984,email,email,0.8,False,llm,,True,True,14984,,False
BATCH-0216,overdue_invoice,99402,email,email,0.8,False,llm,,True,True,99402,,False
BATCH-0217,hard_decline,22171,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0218,soft_decline,9315,email,email,0.9,False,llm,,True,True,9315,,False
BATCH-0219,abandoned_checkout,11151,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0220,overdue_invoice,88361,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0221,hard_decline,18187,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0222,soft_decline,4278,email,email,0.9,False,llm,,True,True,4278,,False
BATCH-0223,abandoned_checkout,14336,email,email,0.8,False,llm,,True,True,14336,,False
BATCH-0224,overdue_invoice,147538,email,email,0.8,False,llm,,True,True,147538,,False
BATCH-0225,hard_decline,9781,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0226,soft_decline,11577,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0227,abandoned_checkout,7584,email,email,0.8,False,llm,,True,True,7584,,False
BATCH-0228,overdue_invoice,93381,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0229,hard_decline,1754,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0230,soft_decline,10713,email,email,0.9,False,llm,,True,True,10713,,False
BATCH-0231,abandoned_checkout,11696,email,email,0.8,False,llm,,True,True,11696,,False
BATCH-0232,overdue_invoice,134026,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0233,hard_decline,3763,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0234,soft_decline,6443,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0235,abandoned_checkout,12501,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0236,overdue_invoice,63405,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0237,hard_decline,14543,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0238,soft_decline,1609,email,email,0.9,False,llm,,True,True,1609,,False
BATCH-0239,abandoned_checkout,15686,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0240,overdue_invoice,85368,email,email,0.8,False,llm,,True,True,85368,,False
BATCH-0241,hard_decline,17702,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0242,soft_decline,14370,email,email,0.9,False,llm,,True,True,14370,,False
BATCH-0243,abandoned_checkout,9188,email,email,0.8,False,llm,,True,True,9188,,False
BATCH-0244,overdue_invoice,48840,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0245,hard_decline,17372,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0246,soft_decline,6185,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0247,abandoned_checkout,7422,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0248,overdue_invoice,92321,email,email,0.8,False,llm,,True,True,92321,,False
BATCH-0249,hard_decline,7399,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0250,soft_decline,2078,email,email,0.8,False,llm,,True,True,2078,,False
BATCH-0251,abandoned_checkout,16415,email,email,0.8,False,llm,,True,True,16415,,False
BATCH-0252,overdue_invoice,142813,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0253,hard_decline,18456,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0254,soft_decline,2104,email,email,0.9,False,llm,,True,True,2104,,False
BATCH-0255,abandoned_checkout,19216,email,email,0.8,False,llm,,True,True,19216,,False
BATCH-0256,overdue_invoice,20905,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0257,hard_decline,18087,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0258,soft_decline,2868,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0259,abandoned_checkout,13675,email,email,0.8,False,llm,,True,True,13675,,False
BATCH-0260,overdue_invoice,18798,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0261,hard_decline,14287,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0262,soft_decline,14993,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0263,abandoned_checkout,2282,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0264,overdue_invoice,59208,email,email,0.8,False,llm,,True,True,59208,,False
BATCH-0265,hard_decline,14210,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0266,soft_decline,3266,email,email,0.8,False,llm,,True,True,3266,,False
BATCH-0267,abandoned_checkout,12662,email,email,0.8,False,llm,,True,True,12662,,False
BATCH-0268,overdue_invoice,83192,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0269,hard_decline,9696,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0270,soft_decline,9009,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0271,abandoned_checkout,6607,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0272,overdue_invoice,53258,email,email,0.8,False,llm,,True,True,53258,,False
BATCH-0273,hard_decline,1666,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0274,soft_decline,6735,email,email,0.8,False,llm,,True,True,6735,,False
BATCH-0275,abandoned_checkout,13018,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0276,overdue_invoice,108116,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0277,hard_decline,18597,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0278,soft_decline,13096,email,email,0.8,False,llm,,True,True,13096,,False
BATCH-0279,abandoned_checkout,15898,email,email,0.7,False,llm,,True,True,15898,,False
BATCH-0280,overdue_invoice,111608,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0281,hard_decline,13176,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0282,soft_decline,11046,email,email,0.8,False,llm,,True,True,11046,,False
BATCH-0283,abandoned_checkout,19546,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0284,overdue_invoice,56976,email,email,0.8,False,llm,,True,True,56976,,False
BATCH-0285,hard_decline,15501,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0286,soft_decline,12290,email,email,0.9,False,llm,,True,True,12290,,False
BATCH-0287,abandoned_checkout,7855,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0288,overdue_invoice,73042,email,email,0.8,False,llm,,True,True,73042,,False
BATCH-0289,hard_decline,11263,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0290,soft_decline,2674,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0291,abandoned_checkout,13110,email,email,0.85,False,llm,,True,False,0,,False
BATCH-0292,overdue_invoice,74954,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0293,hard_decline,9920,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0294,soft_decline,5146,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0295,abandoned_checkout,14691,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0296,overdue_invoice,24553,email,email,0.8,False,llm,,True,True,24553,,False
BATCH-0297,hard_decline,24658,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0298,soft_decline,7986,email,email,0.9,False,llm,,True,True,7986,,False
BATCH-0299,abandoned_checkout,6561,email,email,0.8,False,llm,,True,False,0,,False
